,zip_code,bed_bath_rooms,avg_price,min_price,max_price
0,10001,0b1bh,739785.71,410000,1529000
1,10001,0b0bh,16333.33,0,49000
2,10003,2b2bh,2505388.88,1395000,7350000
3,10003,2b4bh,13300000.0,7000000,23000000
4,10003,8b10bh,17800000.0,17800000,17800000
5,10002,1b1bh,1093295.45,400000,2750000
6,10002,3b2bh,2388217.14,1100000,3527000
7,10002,2b3bh,3885400.0,1850000,9995000
8,10002,0b0bh,2295454.55,0,9750000
9,10004,4b5bh,6535750.0,2500000,10995000
10,10004,2b2bh,1913000.0,1325000,2995000
11,10006,1b1bh,1407014.06,835000,2200000
12,10006,0b1bh,718050.0,635000,835000
13,10006,3b3bh,5755000.0,5755000,5755000
14,10006,3b4bh,14430750.0,5800000,20305000
15,10007,2b2bh,3356000.0,1995000,5300000
16,10007,4b5bh,9101250.0,6495000,12000000
17,10007,3b2bh,4237500.0,3650000,5275000
18,10007,7b10bh,59000000.0,59000000,59000000
19,10007,2b3bh,4171640.62,2725000,9000000
20,10007,1b2bh,2543125.0,1935000,3875000
21,10007,0b0bh,0.0,0,0
22,10001,4b3bh,8500000.0,8500000,8500000
23,10003,6b5bh,8741666.67,7875000,9400000
24,10003,6b7bh,22900000.0,22900000,22900000
25,10002,4b2bh,1665000.0,1650000,1680000
26,10006,2b3bh,3923333.33,2975000,4600000
27,10006,0b0bh,0.0,0,0
28,10006,1b2bh,2922500.0,2495000,3350000
29,10007,3b5bh,16016000.0,6900000,30000000
30,10007,6b12bh,13750000.0,13750000,13750000
31,10007,4b6bh,12235000.0,2600000,21325000
32,10001,3b5bh,5500000.0,5500000,5500000
33,10001,14b14bh,7690000.0,7690000,7690000
34,10003,5b7bh,18000000.0,18000000,18000000
35,10002,5b6bh,15945000.0,15945000,15945000
36,10007,5b12bh,11500000.0,11500000,11500000
37,10001,2b3bh,4679565.22,2450000,7935000
38,10001,5b5bh,11561250.0,6995000,16000000
39,10001,1b1bh,1391236.84,775000,3200000
40,10001,1b2bh,1976666.67,1250000,2750000
41,10001,7b10bh,6500000.0,6500000,6500000
42,10001,4b5bh,11624000.0,7550000,13880000
43,10003,0b1bh,626706.41,349000,1495000
44,10003,1b1bh,1112676.71,475000,2000000
45,10003,2b3bh,4187222.22,2685000,6375000
46,10003,3b3bh,4416200.0,2950000,8250000
47,10003,2b1bh,1627250.0,618500,2995000
48,10003,0b0bh,787500.0,0,2995000
49,10003,3b2bh,2671392.86,1500000,4250000
50,10003,4b4bh,9628333.33,7200000,17000000
51,10002,3b4bh,5530000.0,4750000,6250000
52,10002,2b2bh,2460888.89,1695000,3495000
53,10002,4b3bh,3500000.0,3500000,3500000
54,10002,3b3bh,4514363.64,2750000,7950000
55,10002,1b2bh,1488915.0,899000,2495000
56,10004,3b1bh,2295000.0,2295000,2295000
57,10004,2b3bh,2759000.0,2275000,3250000
58,10004,0b1bh,715357.14,569000,838000
59,10005,2b3bh,2745000.0,2495000,2995000
60,10005,2b2bh,1867892.86,925000,3400000
61,10005,3b2bh,2178625.0,1350000,2999000
62,10005,1b2bh,1422923.08,1195000,1750000
63,10006,4b4bh,8145000.0,7740000,8900000
64,10007,3b4bh,6666695.65,4173000,12050000
65,10007,4b4bh,6325000.0,6000000,6750000
66,10007,0b1bh,1347500.0,1300000,1395000
67,10007,0b2bh,1890000.0,1890000,1890000
68,10003,10b13bh,13000000.0,13000000,13000000
69,10003,4b3bh,4372250.0,4249500,4495000
70,10003,4b6bh,28333333.33,19250000,46500000
71,10003,4b1bh,10500000.0,10500000,10500000
72,10002,4b4bh,2450000.0,2450000,2450000
73,10004,3b2bh,4290000.0,4290000,4290000
74,10006,5b5bh,7500000.0,7500000,7500000
75,10007,4b2bh,4150000.0,4150000,4150000
76,10001,0b3bh,8835000.0,8835000,8835000
77,10001,4b4bh,5000000.0,5000000,5000000
78,10003,6b6bh,9725000.0,9725000,9725000
79,10003,7b7bh,5500000.0,5500000,5500000
80,10003,10b8bh,17000000.0,17000000,17000000
81,10002,7b5bh,6500000.0,6500000,6500000
82,10005,4b4bh,2695000.0,2695000,2695000
83,10005,0b0bh,0.0,0,0
84,10007,5b7bh,29500000.0,29500000,29500000
85,10007,5b8bh,15750000.0,15750000,15750000
86,10001,2b2bh,2694791.62,1550000,4200000
87,10001,3b3bh,4948636.36,2550000,7895000
88,10001,3b2bh,3261000.0,2595000,4495000
89,10001,3b4bh,6882083.33,4500000,9515000
90,10001,2b1bh,1395000.0,1395000,1395000
91,10003,3b4bh,6317692.31,2395000,11000000
92,10003,1b2bh,1978470.86,663888,2995000
93,10002,2b1bh,895842.11,689000,1495000
94,10004,4b4bh,5930000.0,3995000,7495000
95,10004,1b2bh,1246666.67,975000,1450000
96,10004,3b4bh,3781500.0,2975000,4680000
97,10004,1b1bh,989237.5,675000,1425000
98,10004,0b0bh,0.0,0,0
99,10005,3b3bh,2888333.33,2450000,3295000
100,10005,1b1bh,1076964.25,520000,1385000
101,10005,0b1bh,937823.53,510000,1425000
102,10005,2b1bh,1922500.0,1350000,2495000
103,10006,2b2bh,3283700.0,1575000,9650000
104,10007,5b11bh,29450000.0,18900000,40000000
105,10007,3b3bh,5452000.0,3875000,9300000
106,10007,1b1bh,1371533.33,995000,1920000
107,10007,5b6bh,14995000.0,14995000,14995000
108,10001,4b7bh,32000000.0,32000000,32000000
109,10003,5b5bh,11622500.0,9995000,13250000
110,10003,4b5bh,8005000.0,6270000,10500000
111,10003,4b10bh,46500000.0,46500000,46500000
112,10003,8b7bh,5200000.0,5200000,5200000
113,10002,0b1bh,859150.0,438000,1195000
114,10004,2b1bh,1100000.0,1100000,1100000
115,10007,4b10bh,15150000.0,15150000,15150000
116,10004,3b3bh,3734000.0,2985000,4900000
117,10005,0b2bh,1230000.0,1230000,1230000
118,10007,2b0bh,2000000.0,2000000,2000000
119,10007,5b5bh,6495000.0,6495000,6495000
